,key,lon,lat,ca,captured_at,pano
0,3DJavikckVABQkEj3xHveY,-97.8480297,30.4531857,222.0098571777344,2018-07-20,False
1,OksQl_CfHc0NmqfD3qQ8ck,-97.8480536,30.4531646,222.4244384765625,2018-07-20,False
2,ELfh1aOYqIEgVWvXCkv_w6,-97.8480779,30.4531432,222.84507751464844,2018-07-20,False
3,Mt-kapxToNUHB_YPK3MEEh,-97.8481023,30.453121600000006,223.26968383789062,2018-07-20,False
4,egbJo9BqI8I_P-6n40u6dR,-97.8481267,30.4531001,223.6917266845703,2018-07-20,False
5,YxvM5q7avyJnRJ6_mlxwzk,-97.84815079999998,30.4530788,224.11080932617188,2018-07-20,False
6,p_vnYGGFrGY_5C1zGqoQT3,-97.8481752,30.4530572,224.5341033935547,2018-07-20,False
7,4hqTavbTviozf-EQORDkLO,-97.8481998,30.4530355,224.9606170654297,2018-07-20,False
8,qkykQy8RHAlPZuS7QvSuOf,-97.8482237,30.453016,225.460693359375,2018-07-20,False
9,Hk0URK-sjbLUAFNmoGL16o,-97.848248,30.4529964,225.9780578613281,2018-07-20,False
10,dc-SF9o-cKnVFEkBWZ_gVG,-97.8482722,30.4529768,226.49545288085938,2018-07-20,False
11,D-OsA0zVzf-vH2nuHPSjCb,-97.84829659999998,30.452957,227.0154266357422,2018-07-20,False
12,yweA-V15iKuw4r315hfj8i,-97.8483206,30.4529376,227.5265655517578,2018-07-20,False
13,kgGIfU-wbnSa25m5iB1Uyh,-97.8483448,30.452918,228.04315185546875,2018-07-20,False
14,47EF8ekBiK005ZVVFjeJyY,-97.848369,30.4528985,228.559326171875,2018-07-20,False
15,1C4-f7jPntKCdugt3MNEcI,-97.8483938,30.4528794,229.15267944335938,2018-07-20,False
16,HPHAeA3CIIDrSIFTwfqXVP,-97.8484193,30.4528613,229.8577117919922,2018-07-20,False
17,AQ6F-synfAcWEHe4q_v4Kc,-97.8484451,30.452843,230.5689239501953,2018-07-20,False
18,AiM06WGgs0SJQDl6Etdd4-,-97.8484703,30.4528251,231.26458740234366,2018-07-20,False
19,UiO1wM4KGtrqCcc13zWT7O,-97.8484956,30.4528071,231.96441650390625,2018-07-20,False
20,Y5BVaVLfrdMx1mwSse4OlA,-97.8485213,30.4527889,232.6744384765625,2018-07-20,False
21,5xxf7R0CM_YSy2H4GM3oWD,-97.8485469,30.4527707,233.3819732666016,2018-07-20,False
22,VuoMa2ZZZrq9uo0osyMVvn,-97.84857209999998,30.4527529,234.07553100585938,2018-07-20,False
23,PhEfTwpM_PWYq_WqZvghGk,-97.8485998,30.4527364,234.568359375,2018-07-20,False
24,duGy2Cl52V24lfAw7jRJGk,-97.8486277,30.4527202,235.0386657714844,2018-07-20,False
25,kNID4QWZwBE4tYWW0GWeXY,-97.8486554,30.452704,235.5057373046875,2018-07-20,False
26,LqsY2voxChsOWD7AmlJ1dH,-97.8486832,30.452687800000003,235.9740753173828,2018-07-20,False
27,BlpjRRzBwabu2ElBSJcJPi,-97.8487111,30.4526716,236.4438323974609,2018-07-20,False
28,f61dvK5DB2OFL-iHttMXhA,-97.8487391,30.4526553,236.91539001464844,2018-07-20,False
29,0MsJJgbHxkIF5zsQ_qDXe0,-97.8487667,30.4526392,237.38082885742188,2018-07-20,False
30,AQhmi1Ylx27CyMM48cFmbu,-97.8487957,30.4526234,237.7940673828125,2018-07-20,False
31,yimWwIYv-vNfgCVskHo6zT,-97.8488257,30.452608500000004,238.1216125488281,2018-07-20,False
32,-d6CST6gEJWD1EWEgxqPh3,-97.8488557,30.4525937,238.44854736328125,2018-07-20,False
33,jkEdkx9V2MsB3opbaV17MB,-97.848886,30.4525787,238.77926635742188,2018-07-20,False
34,BZcHj6OyDSQxhmity_ZTtz,-97.848916,30.4525639,239.1059417724609,2018-07-20,False
35,_6dTLLTi3BS-gn-wKVMWJP,-97.8489464,30.4525488,239.4375457763672,2018-07-20,False
36,KwKwUMueCesx0qa3D2NH7R,-97.8489764,30.452534000000004,239.7648162841797,2018-07-20,False
37,sj0wFDftinFQrwWeqf-iDj,-97.8490068,30.452519,240.09539794921875,2018-07-20,False
