,key,lon,lat,ca,captured_at,pano
0,FuR1KSXEUhklkj2G1HcRs0,-97.8480454,30.4531205,222.2815399169922,2018-07-14,False
1,IJmcZqTEij8XqJ1Us-kXt7,-97.8480668,30.4531011,222.2815399169922,2018-07-14,False
2,bA8Sf3jS1-IbXrbTOWCRoI,-97.8480881,30.453081800000003,222.2815399169922,2018-07-14,False
3,QBV1nRT7CbGulPl81oPslQ,-97.8481097,30.453062300000006,222.2815399169922,2018-07-14,False
4,DjEi23r5gGHyhrCQYprQG4,-97.848131,30.4530429,222.2815399169922,2018-07-14,False
5,BtsHojPv4I1sZ_f0CWb6di,-97.8481545,30.4530238,222.2815399169922,2018-07-14,False
6,AOKc6R81espuu82vhMXCLX,-97.8481788,30.4530047,222.2815399169922,2018-07-14,False
7,Ept-o1ReEHC6CKe-UZ4DpD,-97.8482031,30.4529855,222.2815399169922,2018-07-14,False
8,8jnKrpn-Ds5U2ncbzFJ2UZ,-97.8482273,30.4529665,222.2815399169922,2018-07-14,False
9,WIotXi2Tmv6Fik_FPoCHlK,-97.8482516,30.4529473,222.2815399169922,2018-07-14,False
10,rfSvAMwlP69HiCqpA4cWUD,-97.8482758,30.4529282,222.2815399169922,2018-07-14,False
11,IobpFJ8RpjVW4sb6wWNDnp,-97.8483001,30.452909100000007,222.2815399169922,2018-07-14,False
12,j6VehuQFILvwpT9YXBEDd2,-97.8483249,30.4528903,222.90382385253903,2018-07-14,False
13,pvKgXINCP-_UP2mlLY0_f7,-97.8483504,30.4528729,225.0479431152344,2018-07-14,False
14,Qye8pXA3R2Tzyolr3B4RdA,-97.8483821,30.452851300000006,227.7123565673828,2018-07-14,False
15,ER-6AvcuvGH3ZQFGe4q99h,-97.848408,30.4528335,229.89263916015625,2018-07-14,False
16,df3Eg3_4Er8VFZo2f2BlYZ,-97.8484335,30.452816100000003,232.033447265625,2018-07-14,False
17,ukpReF4qmRR5iYLTErkkHp,-97.8484591,30.452798600000005,234.18923950195312,2018-07-14,False
18,B41CMMcs7RX973kIJ2mT7L,-97.8484848,30.4527811,236.34803771972656,2018-07-14,False
19,4lkzBcXwPtyn16nLnd4m3Y,-97.8485104,30.4527637,238.3984375,2018-07-14,False
20,OHPgLe9moyAUK6n8-vaQ9y,-97.8485386,30.4527468,238.3984375,2018-07-14,False
21,K9aPnrg8T2qKaJ8JuOweLF,-97.8485643,30.4527315,238.3984375,2018-07-14,False
22,gIgINhbhjl6nbsBZXsgW7H,-97.8485911,30.4527154,238.3984375,2018-07-14,False
23,tTegBpeaM-cplrrpz59qrL,-97.8486184,30.452699100000004,238.3984375,2018-07-14,False
24,DNn0_VTaH71aMB9VnQ4b9o,-97.8486454,30.452683,238.3984375,2018-07-14,False
25,UvURswSp0arHkBRW8zALPZ,-97.8486722,30.4526669,238.3984375,2018-07-14,False
26,JXn-It0m4VsNehkqqup_zr,-97.8486991,30.452650800000004,238.3984375,2018-07-14,False
27,T-Hisqy8qcI7qn88noqpXT,-97.8487267,30.4526358,238.50083923339844,2018-07-14,False
28,7Xl_eymIfKIQ-J8tdyKC8l,-97.8487543,30.452622,238.6885681152344,2018-07-14,False
29,y0yPSnrbdchK2YMUchIfwr,-97.848782,30.4526082,238.87619018554688,2018-07-14,False
30,RulRMFdAGEchdJsq1EW2xG,-97.8488098,30.4525943,239.06509399414062,2018-07-14,False
31,k7Jbp9uT-EKuLesskV9uvD,-97.8488378,30.4525803,239.25547790527344,2018-07-14,False
32,VcGEFcAtJBzhkFm82r7kHM,-97.8488651,30.4525667,239.4408264160156,2018-07-14,False
33,GpAy7agPQAuZ8IsQPghEE9,-97.8488928,30.4525529,239.6290740966797,2018-07-14,False
34,EBhBhkhUiOafLMu189SpPd,-97.8489206,30.452539,239.8363800048828,2018-07-14,False
35,FaYeCBhJ7kQ1MOx8GqF5cZ,-97.8489493,30.4525257,240.4134979248047,2018-07-14,False
36,BN2Ve7wgnlDJZAUCcduO1S,-97.8489782,30.4525123,240.99411010742188,2018-07-14,False
37,JK8dn6hnFGfLuRssSvTJda,-97.849007,30.4524989,241.57406616210938,2018-07-14,False
38,4lc1zvJjL8sofO4geoHNkQ,-97.8490356,30.452485600000006,242.15054321289062,2018-07-14,False
39,PB0bcZWXpnORuv9zVcRlfQ,-97.8490647,30.4524721,242.73513793945312,2018-07-14,False
40,bbPnuLDHtH-cjMhyy2H-vS,-97.8490934,30.4524587,243.3127593994141,2018-07-14,False
41,zL1RYX1x7-BWEOO5255xYc,-97.8491221,30.4524454,243.888916015625,2018-07-14,False
42,Tl0r7-67qhsBrBzw7jHPrj,-97.8491421,30.4524366,244.2347869873047,2018-07-14,False
